cik,company_name,executive_name,title_context
0001735438,Meiragtx Holdings Plc,Alexandria Forbes,"development, regulatory, commercialization and business development expertise of Alexandria Forbes, Ph.D., our President and Chief Executive Officer, Rich Giroux, our Chief Operating Officer and Stuar"
0001735438,Meiragtx Holdings Plc,Rich Giroux,"development, regulatory, commercialization and business development expertise of Alexandria Forbes, Ph.D., our President and Chief Executive Officer, Rich Giroux, our Chief Operating Officer and Stuar"
0001735438,Meiragtx Holdings Plc,Stuart Naylor,"development, regulatory, commercialization and business development expertise of Alexandria Forbes, Ph.D., our President and Chief Executive Officer, Rich Giroux, our Chief Operating Officer and Stuar"
0001735438,Meiragtx Holdings Plc,Cancer Research,"Dr.&nbsp;Naylor was Executive Director and Chief Scientific Officer of Oxford BioMedica plc, a gene therapy company. Prior to joining Oxford BioMedica plc, Dr.&nbsp;Naylor focused on translational can"
0001735438,Meiragtx Holdings Plc,Keith Harris,"chairman of Keith Harris &amp; Associates, a sports consulting firm. Dr.&nbsp;Harris previously served as Chief Executive Officer of HSBC Investment Bank from 1994 to 1999 and Seymour Pierce Holdings "
0001735438,Meiragtx Holdings Plc,Seymour Pierce,"chairman of Keith Harris &amp; Associates, a sports consulting firm. Dr.&nbsp;Harris previously served as Chief Executive Officer of HSBC Investment Bank from 1994 to 1999 and Seymour Pierce Holdings "
0001735438,Meiragtx Holdings Plc,Alexandria Real,"Mr.&nbsp;Marcus founded Alexandria Real Estate Equities, Inc., a real estate investment trust, and currently serves as Executive Chairman after previously serving as its Chairman since May 2007, Chief"
0001382101,Sutro Biopharma Inc,William J. Newell,William J. Newell Chief Executive Officer
0001382101,Sutro Biopharma Inc,Edward Albini,"William J. Newell, our chief executive officer, Edward Albini, our chief financial officer, Trevor J. Hallam, Ph.D., our chief scientific officer, Arturo Molina, M.D., our chief medical officer and Sh"
0001382101,Sutro Biopharma Inc,Trevor J. Hallam,"William J. Newell, our chief executive officer, Edward Albini, our chief financial officer, Trevor J. Hallam, Ph.D., our chief scientific officer, Arturo Molina, M.D., our chief medical officer and Sh"
0001382101,Sutro Biopharma Inc,Arturo Molina,"William J. Newell, our chief executive officer, Edward Albini, our chief financial officer, Trevor J. Hallam, Ph.D., our chief scientific officer, Arturo Molina, M.D., our chief medical officer and Sh"
0001382101,Sutro Biopharma Inc,Shabbir T. Anik,"William J. Newell, our chief executive officer, Edward Albini, our chief financial officer, Trevor J. Hallam, Ph.D., our chief scientific officer, Arturo Molina, M.D., our chief medical officer and Sh"
0001382101,Sutro Biopharma Inc,Oncology Scientific,"M.S. , FACP , has served as our Chief Medical Officer since February 2016. From February 2013 to February 2016, Dr.&nbsp;Molina served as Vice President of Oncology Scientific Innovation at Johnson&nb"
0001382101,Sutro Biopharma Inc,Joseph M. Lobacki,a director or officer of other life sciences companies. Joseph M. Lobacki has served as a member of our board of directors since February
0001382101,Sutro Biopharma Inc,Verastem Oncology,"2017. Since January 2018, Mr.&nbsp;Lobacki has served as Executive Vice President and Chief Commercial Officer for Verastem Oncology, a biopharmaceutical company focused on the development and commerc"
0001205922,Vaccinex Inc,Maurice Zauderer,"Dr. Maurice Zauderer, our President, Chief Executive Officer and a member of our board of directors, and accrued interest and the write-off of the related embedded derivative liability; and"
0001205922,Vaccinex Inc,Frank Wall,"Dodd-Frank Wall Street Reform and Protection Act, or Dodd-Frank Act, and some of the disclosure requirements of the Dodd-Frank Act relating to compensation of our Chief Executive Officer;"
0001205922,Vaccinex Inc,Rockford Developments,"President at Rockford Developments, a Calgary-based multi-family building company. Mr.&nbsp;Frieberg received a B.A. in Economics from the University of Western Ontario. We believe that Mr.&nbsp;Frieb"
0001205922,Vaccinex Inc,Western Ontario,"President at Rockford Developments, a Calgary-based multi-family building company. Mr.&nbsp;Frieberg received a B.A. in Economics from the University of Western Ontario. We believe that Mr.&nbsp;Frieb"
0001205922,Vaccinex Inc,Jeffrey Goater,"Jeffrey Goater has served as a member of our board of directors since May 2013. Since February 2018, Mr.&nbsp;Goater has served as Chief Executive Officer and a director of Surface Oncology, Inc., a p"
0001205922,Vaccinex Inc,Surface Oncology,"Jeffrey Goater has served as a member of our board of directors since May 2013. Since February 2018, Mr.&nbsp;Goater has served as Chief Executive Officer and a director of Surface Oncology, Inc., a p"
0001205922,Vaccinex Inc,Eastman Kodak,"the founder and chairman of the board of directors of Lumisys Incorporated, a medical imaging company acquired by Eastman Kodak Co., the founder and chairman of the board of directors of Molecular Dyn"
0001205922,Vaccinex Inc,Molecular Dynamics,"the founder and chairman of the board of directors of Lumisys Incorporated, a medical imaging company acquired by Eastman Kodak Co., the founder and chairman of the board of directors of Molecular Dyn"
0001205922,Vaccinex Inc,Applied Optics,an M.S. in Applied Optics from the University of Rochester and a Ph.D. in Mechanical Engineering from Purdue University. We believe that Dr.&nbsp;Manian&#146;s experience as a founder of numerous biot
0001205922,Vaccinex Inc,Mechanical Engineering,an M.S. in Applied Optics from the University of Rochester and a Ph.D. in Mechanical Engineering from Purdue University. We believe that Dr.&nbsp;Manian&#146;s experience as a founder of numerous biot
0001205922,Vaccinex Inc,Associate Professor,"Zauderer, Ph.D. has served as our President and Chief Executive Officer and a member of our board of directors since our inception in April 2001. Prior to founding the company, Dr.&nbsp;Zauderer was a"
