company_name,cik,exit_reason,bankruptcy_date,merger_date,delisting_notice_date,acquisition_completion_date,exit_subtype,evidence_note,original_exit_reason
Vaccinex Inc,0001205922,likely_failure_delisted,,,2019-07-19,,,,
Sol-Gel Technologies Ltd,0001684693,unclear,,,,,,,
InflaRx NV (Fireman BV?),0001708688,unclear,,,,,,,
BioNTech SE,0001776985,acquisition,,2025-10-21,,,,,
China Sxt Pharms Inc,0001723980,unclear,,,,,,,
NuCana plc,0001709626,unclear,,,,,,,
ProQR Therapeutics BV,0001612940,unclear,,,,,,,
Esperion Therapeutics Inc,0001434868,acquisition,,2026-06-08,,,,,
Ascendis Pharma A/S,0001612042,unclear,,,,,,,
AC Immune SA,0001651625,unclear,,,,,,,
LBC Bioscience Inc.,0001683743,unclear,,,,,,,
Patheon N.V.,0001643848,acquisition,,2017-05-31,,,,,
"Oncolix, Inc.",0001584137,acquisition,,,2019-01-28,2017-11-24,,,
Aptalis Holdings Inc.,0001588172,unclear,,,,,,,
"Poseida Therapeutics, Inc.",0001661460,acquisition,,2024-12-09,,,,,
"CARDAX, INC.",0001544238,acquisition,,2018-06-15,,,,,
"Neurotrope, Inc.",0001513856,acquisition,,2020-11-02,,,,,
"Health-Right Discoveries, Inc.",0001537663,acquisition,,,,2017-12-13,,,
Osmotica Pharmaceuticals plc,0001739426,bankruptcy,2023-10-13,,,,,,
Aralez Pharmaceuticals Inc.,0001660719,bankruptcy,2018-08-14,,,,,,
"Ignyta, Inc.",0001557421,acquisition,,2018-01-10,,,,,
"Shuttle Pharmaceuticals, Inc.",0001685462,unclear,,,,,,,
"PAR PHARMACEUTICAL HOLDINGS, INC.",0001559149,unclear,,,,,,,
"Turning Point Therapeutics, Inc.",0001595893,acquisition,,2022-06-17,,,,,
Iterum Therapeutics Ltd,0001659323,bankruptcy,2026-03-27,,,,,,
Prevail Therapeutics Inc.,0001714798,acquisition,,2020-12-22,,,,,
Axcella Health Inc.,0001633070,acquisition,,,2023-01-04,2023-12-19,,,
"Zynerba Pharmaceuticals, Inc.",0001621443,acquisition,,2023-08-28,,,,,
"Odonate Therapeutics, LLC",0001717452,likely_failure_delisted,,,2022-01-07,,,,
"Sienna Biopharmaceuticals, Inc.",0001656328,bankruptcy,2019-09-17,,,,,,
"Atreca, Inc.",0001532346,acquisition,,2024-02-23,,,,,
"Spring Bank Pharmaceuticals, Inc.",0001566373,failure,,2022-07-07,,,reverse_merger,"A patient death occurred in the Phase 2b trial of lead drug inarigivir, forcing discontinuation on safety grounds. 1:4 reverse stock split immediately preceded a reverse merger with F-star Therapeutics (private), which took 61.2% ownership.",acquisition
"Adgero Biopharmaceuticals Holdings, Inc.",0001657598,unclear,,,,,,,
"TYME TECHNOLOGIES, INC.",0001537917,acquisition,,2022-08-09,,,,,
"SpringWorks Therapeutics, Inc.",0001773427,acquisition,,2025-05-28,,,,,
Urovant Sciences Ltd.,0001740547,acquisition,,2021-02-19,,,,,
"SANCILIO PHARMACEUTICALS COMPANY, INC.",0001641908,unclear,,,,,,,
Scopus Biopharma Inc.,0001772028,acquisition,,,2022-01-20,2021-07-01,,,
"Bellerophon Therapeutics, Inc.",0001600132,likely_failure_delisted,,,2019-03-01,,,,
"Kadmon Holdings, Inc.",0001557142,acquisition,,2021-10-04,,,,,
"Zander Therapeutics, Inc",0001718644,unclear,,,,,,,
Aralez Pharmaceuticals Ltd,0001648419,unclear,,,,,,,
PREMIER BIOMEDICAL INC,0001515740,likely_failure_delisted,,,2019-07-10,,,,
Kannalife Inc,0001615999,acquisition,,,,2018-07-31,,,
"ALPINE IMMUNE SCIENCES, INC.",0001626199,acquisition,,2024-04-22,,,,,
"Enumeral Biomedical Holdings, Inc.",0001561551,bankruptcy,2018-01-29,2016-10-28,,,,,
"Y-mAbs Therapeutics, Inc.",0001722964,acquisition,,2025-08-18,,,,,
"Durata Therapeutics, Inc.",0001544116,acquisition,,2014-10-17,,,,,
"ARMO BioSciences, Inc.",0001693664,acquisition,,2018-05-23,,,,,
"TFF Pharmaceuticals, Inc.",0001733413,likely_failure_delisted,,,2024-12-10,,,,
Principia Biopharma Inc.,0001510487,acquisition,,2020-08-28,,,,,
"Braeburn Pharmaceuticals, Inc.",0001688765,unclear,,,,,,,
"Juno Therapeutics, Inc.",0001594864,acquisition,,2018-01-23,,,,,
Egalet Corp,0001586105,bankruptcy,2018-10-31,2018-07-31,,,,,
"AUDEO ONCOLOGY, INC.",0001552899,unclear,,,,,,,
"Inhibrx, Inc.",0001739614,acquisition,,2024-04-26,,,,,
"Clearside Biomedical, Inc.",0001539029,bankruptcy,2025-11-25,,,,,,
"BioCardia, Inc.",0001635886,unclear,,,,,,,
"G1 Therapeutics, Inc.",0001560241,acquisition,,2024-08-20,,,,,
scPharmaceuticals Inc.,0001604950,acquisition,,2025-09-08,,,,,
MultiVir Inc.,0001613490,unclear,,,,,,,
Allakos Inc.,0001564824,acquisition,,2025-04-15,,,,,
"Sage Therapeutics, Inc.",0001597553,acquisition,,2024-01-23,,,,,
"Evelo Biosciences, Inc.",0001694665,likely_failure_delisted,,,2023-03-17,,,,
"AveXis, Inc.",0001652923,acquisition,,2018-04-17,,,,,
"Recro Pharma, Inc.",0001588972,acquisition,,2022-06-01,,,,,
Abpro Corp,0001670356,unclear,,,,,,,
"Global Blood Therapeutics, Inc.",0001629137,acquisition,,2022-08-29,,,,,
"Dance Biopharm, Inc.",0001596126,unclear,,,,,,,
"Surface Oncology, Inc.",0001718108,acquisition,,,2023-01-12,2023-09-08,,,
Centrexion Therapeutics Corp,0001592052,unclear,,,,,,,
Regulus Therapeutics Inc.,0001505512,acquisition,,2018-10-15,,,,,
"AKCEA THERAPEUTICS, INC.",0001662524,acquisition,,2020-09-14,,,,,
"Kite Pharma, Inc.",0001510580,acquisition,,2017-09-05,,,,,
"Accelerated Pharma, Inc.",0001630970,unclear,,,,,,,
"Versartis, Inc.",0001513818,failure,,,2022-08-11,2024-01-17,reverse_merger,"Somavaratan, the company's only clinical-stage asset, failed Phase 3 VELOCITY (Sept 2017), missing the primary non-inferiority endpoint, wiping over 80% off the stock. Own statement: 'does not intend to further develop somavaratan.' Two-thirds of staff cut. Reverse merged into Aravive Biologics, 2018.",acquisition
"ARATANA THERAPEUTICS, INC.",0001509190,acquisition,,2019-06-17,,,,,
"Eidos Therapeutics, Inc.",0001731831,acquisition,,2020-12-15,,,,,
"MICROLIN BIO, INC.",0001590930,unclear,,,,,,,
MyoKardia Inc,0001552451,acquisition,,2020-10-19,,,,,
"Epizyme, Inc.",0001571498,acquisition,,2022-07-12,,,,,
TCR2 THERAPEUTICS INC.,0001750019,acquisition,,2022-10-19,,,,,
"CohBar, Inc.",0001522602,likely_failure_delisted,,,2018-04-30,,,,
"Provention Bio, Inc.",0001695357,acquisition,,2023-03-24,,,,,
"Tricida, Inc.",0001595585,bankruptcy,2023-01-12,2021-07-15,,,,,
"Corium International, Inc.",0001594337,acquisition,,2018-10-26,,,,,
"ALZHEON, INC.",0001582636,unclear,,,,,,,
"S1 Biopharma, Inc.",0001613723,unclear,,,,,,,
Zosano Pharma Corp,0001587221,bankruptcy,2022-06-02,2015-11-16,,,,,
"Mirna Therapeutics, Inc.",0001527599,likely_failure_delisted,,,2022-12-09,,,,
"Loxo Oncology, Inc.",0001581720,acquisition,,2019-01-17,,,,,
"Peloton Therapeutics, Inc.",0001525145,unclear,,,,,,,
"Translate Bio, Inc.",0001693415,acquisition,,2021-08-16,,,,,
"Vyrix Pharmaceuticals, Inc.",0001602413,unclear,,,,,,,
"Synthorx, Inc.",0001609727,acquisition,,2019-12-23,,,,,
"Morphic Holding, Inc.",0001679363,acquisition,,2024-07-19,,,,,
Entasis Therapeutics Holdings Inc.,0001724344,acquisition,,2021-06-17,,,,,
Axovant Sciences Ltd.,0001636050,failure,,2023-02-21,,,dissolution,"Intepirdine failed Phase 3 (MINDSET, Sept 2017) and a second Phase 3 in Lewy body dementia (2018); follow-on candidate nelotanserin also failed Phase 2. Pivoted to gene therapy as Sio Gene Therapies, those programs also disappointed. Board voted to dissolve and liquidate, Dec 2022, no acquirer.",acquisition
"Civitas Therapeutics, Inc.",0001509697,unclear,,,,,,,
HOOKIPA Pharma Inc.,0001760542,acquisition,,2023-08-10,,,,,
"Forty Seven, Inc.",0001667633,acquisition,,2020-03-10,,,,,
Sunset Island Group,0001689066,unclear,,,,,,,
"LogicBio Therapeutics, Inc.",0001664106,acquisition,,2022-10-18,,,,,
"89bio, Inc.",0001785173,acquisition,,2025-10-01,,,,,
"Spark Therapeutics, Inc.",0001609351,acquisition,,2019-03-07,,,,,
"Avalanche Biotechnologies, Inc.",0001501756,acquisition,,2016-04-07,,,,,
Dermavant Sciences Ltd,0001753483,unclear,,,,,,,
SOPHIRIS BIO INC.,0001563855,likely_failure_delisted,,,2013-11-05,,,,
Viamet Pharmaceuticals Holdings LLC,0001538928,unclear,,,,,,,
"Aridis Pharmaceuticals, Inc.",0001614067,likely_failure_delisted,,,2022-04-15,,,,
"Gritstone Oncology, Inc.",0001656634,bankruptcy,2024-10-10,,,,,,
"Viela Bio, Inc.",0001734517,acquisition,,,2021-03-15,2021-03-15,,,
Aptinyx Inc.,0001674365,likely_failure_delisted,,,2022-06-10,,,,
"Codiak BioSciences, Inc.",0001659352,bankruptcy,2023-03-27,,,,,,
"Cirius Therapeutics, Inc.",0001702956,unclear,,,,,,,
"Deciphera Pharmaceuticals, Inc.",0001654151,acquisition,,2024-05-13,,,,,
"Jounce Therapeutics, Inc.",0001640455,acquisition,,2023-03-27,,,,,
"Lumena Pharmaceuticals, Inc.",0001513157,unclear,,,,,,,
"RAPT Therapeutics, Inc.",0001673772,acquisition,,2026-02-02,,,,,
"Rubius Therapeutics, Inc.",0001709401,acquisition,,,2022-08-01,2022-12-21,,,
Blueprint Medicines Corp,0001597264,acquisition,,2025-06-17,,,,,
"Dova Pharmaceuticals, Inc.",0001685071,acquisition,,2019-10-11,,,,,
"Inpellis, Inc.",0001638851,unclear,,,,,,,
SteadyMed Ltd.,0001619087,acquisition,,2018-06-25,,,,,
"Dermira, Inc.",0001557883,acquisition,,2020-01-22,,,,,
"Cidara Therapeutics, Inc.",0001610618,acquisition,,2019-11-20,,,,,
"Aimmune Therapeutics, Inc.",0001631650,acquisition,,2020-09-14,,,,,
"Harpoon Therapeutics, Inc.",0001708493,acquisition,,2024-02-08,,,,,
Nexvet Biopharma plc,0001618561,acquisition,,2017-06-02,,,,,
"Neon Therapeutics, Inc.",0001694187,acquisition,,,2020-05-06,2020-05-06,,,
Myovant Sciences Ltd.,0001679082,acquisition,,2023-01-23,,,,,
"Satsuma Pharmaceuticals, Inc.",0001692830,acquisition,,2023-05-05,,,,,
"bluebird bio, Inc.",0001293971,acquisition,,2025-03-07,,,,,
"Oyster Point Pharma, Inc.",0001720725,acquisition,,2022-12-01,,,,,
"Kaleido Biosciences, Inc.",0001751299,unclear,,,,,,,
Applied Therapeutics Inc.,0001697532,acquisition,,2025-12-29,,,,,
"Dimension Therapeutics, Inc.",0001592288,acquisition,,2017-10-10,,,,,
"Akero Therapeutics, Inc.",0001744659,acquisition,,2025-11-07,,,,,
"Allena Pharmaceuticals, Inc.",0001624658,bankruptcy,2022-09-02,,,,,,
"Audentes Therapeutics, Inc.",0001628738,acquisition,,2019-12-16,,,,,
"IASO BioMed, Inc.",0001662907,unclear,,,,,,,
"Insys Therapeutics, Inc.",0001516479,bankruptcy,2019-06-10,,,,,,
"Karuna Therapeutics, Inc.",0001771917,acquisition,,2024-02-05,,,,,
"Novan, Inc.",0001467154,bankruptcy,2023-07-17,,,,,,
"Dipexium Pharmaceuticals, LLC",0001497504,bankruptcy,2023-04-13,,,,,,
"CEMPRA, INC.",0001461993,bankruptcy,2019-12-27,2017-10-05,,,,,
"TESARO, Inc.",0001491576,acquisition,,2018-12-14,,,,,
Pfenex Inc.,0001478121,acquisition,,2020-08-31,,,,,
CONTRAFECT Corp,0001478069,bankruptcy,2023-12-05,,,,,,
"Calithera Biosciences, Inc.",0001496671,acquisition,,2023-06-05,,,,,
"Clovis Oncology, Inc.",0001466301,bankruptcy,2022-12-13,,,,,,
"OptiNose, Inc.",0001494650,acquisition,,2025-04-15,,,,,
"Revance Therapeutics, Inc.",0001479290,acquisition,,2024-12-12,,,,,
"Omthera Pharmaceuticals, Inc.",0001477598,acquisition,,2013-06-13,,,,,
"Otonomy, Inc.",0001493566,acquisition,,2017-12-20,,,,,
"IGM Biosciences, Inc.",0001496323,acquisition,,2024-06-20,,,,,
"Eleven Biotherapeutics, Inc.",0001485003,failure,,2016-07-14,,,reverse_merger,"Original dry-eye-disease drug failed multiple Phase 3 trials (called a 'zombie biotech... on life support' by Fierce Biotech, 2016). Merged with Viventia Bio, rebranded Sesen Bio around a bladder cancer drug, which the FDA then rejected. Reverse merged into Carisma Therapeutics, 2022. BioPharma Dive: 'the deal marks the end of the line.'",acquisition
"Ra Pharmaceuticals, Inc.",0001481512,acquisition,,2019-11-15,,,,,
"Unity Biotechnology, Inc.",0001463361,likely_failure_delisted,,,2022-06-07,,,,
"Receptos, Inc.",0001463729,acquisition,,2015-07-28,,,,,
"Cancer Prevention Pharmaceuticals, Inc.",0001471002,unclear,,,,,,,
"Neos Therapeutics, Inc.",0001467652,acquisition,,2021-02-09,,,,,
"ZS Pharma, Inc.",0001459266,acquisition,,2015-11-18,,,,,
PORTOLA PHARMACEUTICALS INC,0001269021,acquisition,,2020-05-27,,,,,
KOLLTAN PHARMACEUTICALS INC,0001442835,unclear,,,,,,,
ACCELERON PHARMA INC,0001280600,acquisition,,2021-10-12,,,,,
"CoLucid Pharmaceuticals, Inc.",0001348649,acquisition,,2017-01-31,,,,,
MERRIMACK PHARMACEUTICALS INC,0001274792,acquisition,,2017-02-14,,,,,
Celladon Corp,0001305253,bankruptcy,2024-04-01,,,,,,
Immune Design Corp.,0001437786,acquisition,,2018-06-18,,,,,
"ADURO BIOTECH, INC.",0001435049,acquisition,,2023-07-10,,,,,
Regado Biosciences Inc,0001311596,failure,,2015-03-24,,,reverse_merger,"Revolixys Phase 3 (REGULATE-PCI) terminated Aug 2014 on safety grounds. Own statement: 'no further development activities are ongoing nor have any been planned for the Regado pipeline.' Reverse merged into Tobira Therapeutics, May 2015.",acquisition
"Mersana Therapeutics, Inc.",0001442836,acquisition,,2025-12-05,,,,,
PhaseBio Pharmaceuticals Inc,0001169245,bankruptcy,2022-10-24,,,,,,
"Visterra, Inc.",0001426375,unclear,,,,,,,
"Athenex, Inc.",0001300699,bankruptcy,2023-05-22,,,,,,
TREVENA INC,0001429560,likely_failure_delisted,,,2019-09-06,,,,
"Auspex Pharmaceuticals, Inc.",0001454189,acquisition,,2015-04-07,,,,,
"Rib-X Pharmaceuticals, Inc.",0001164994,unclear,,,,,,,
CATABASIS PHARMACEUTICALS INC,0001454789,failure,,2025-12-18,,,rebrand_pivot,"Edasalonexent failed Duchenne muscular dystrophy trials twice (2017, then Phase 3 PolarisDMD Oct 2020, missing primary and secondary endpoints). Own statement: 'stopping activities related to the development of edasalonexent.' Rebranded as Astria Therapeutics around an internally developed candidate.",acquisition
Acucela Inc,0001400482,acquisition,,2016-09-15,,,,,
"Carbylan Therapeutics, Inc.",0001348911,failure,,2016-10-28,,,reverse_merger,"1-for-14 reverse stock split immediately preceded a reverse merger with KalVista Pharmaceuticals (private, UK), full rename, followed by a securities law investigation. No single explicit trial-failure citation found, medium-high confidence based on the structural pattern alone.",acquisition
Dicerna Pharmaceuticals Inc,0001399529,acquisition,,2021-11-24,,,,,
TETRALOGIC PHARMACEUTICALS CORP,0001361248,acquisition,,,2016-01-25,2014-04-14,,,
GLOBEIMMUNE INC,0001245104,likely_failure_delisted,,,2016-05-19,,,,
STEMLINE THERAPEUTICS INC,0001264587,acquisition,,2020-05-12,,,,,
HYPERION THERAPEUTICS INC,0001386858,acquisition,,2015-03-30,,,,,
"BIND Therapeutics, Inc",0001385228,bankruptcy,2016-05-02,,,,,,
"PHASERX, INC.",0001429386,bankruptcy,2017-12-13,,,,,,
FIVE PRIME THERAPEUTICS INC,0001175505,acquisition,,2019-07-01,,,,,
Conatus Pharmaceuticals Inc,0001383701,failure,,,2019-05-31,2020-05-27,reverse_merger,"Emricasan failed 3 Phase 2 trials (ENCORE-NF/LF/PH, 2019), Novartis exited the partnership, 80% staff cut across two rounds. Own 10-Q named merger as an alternative to dissolution and liquidation. Reverse merged into Histogen, 2020. Emricasan discontinued entirely.",acquisition
Virobay Inc,0001374261,unclear,,,,,,,
THAR PHARMACEUTICALS INC,0001428369,unclear,,,,,,,
KYTHERA BIOPHARMACEUTICALS INC,0001436304,acquisition,,2015-08-21,,,,,
"CONCERT PHARMACEUTICALS, INC.",0001367920,acquisition,,2023-02-02,,,,,
AERIE PHARMACEUTICALS INC,0001337553,acquisition,,2022-10-07,,,,,
"Tobira Therapeutics, Inc.",0001409690,unclear,,,,,,,
"GENOCEA BIOSCIENCES, INC.",0001457612,likely_failure_delisted,,,2017-04-17,,,,
TETRAPHASE PHARMACEUTICALS INC,0001373707,acquisition,,2020-04-24,,,,,
