cik,company_name,ticker,ipo_date,ipo_year,founding_year,years_to_ipo,total_pre_ipo_capital_m,num_rounds_detected,capital_efficiency_m,pre_ipo_trial_count,pre_ipo_max_phase_rank,pre_ipo_conditions_targeted,pipeline_concentration,pre_ipo_had_terminated_or_withdrawn,pre_ipo_patent_count,ip_density,pubmed_pre_ipo_count,bucket,exit_reason,exit_subtype,sic,sic_description
0001526119,Verastem Inc,VSTM,2012-01-26,2012.0,2010.0,2.0,,0,,2,1.0,4,0.5,False,3,1.5,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001735438,Meiragtx Holdings Plc,MGTX,2018-06-08,2018.0,2015.0,3.0,97.6,1,32.53,1,1.0,3,0.33,False,0,0.0,2,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001382101,Sutro Biopharma Inc,STRO,2018-09-26,2018.0,2003.0,15.0,22.0,1,1.47,1,1.0,8,0.12,False,30,30.0,0,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001205922,Vaccinex Inc,VCNX,2018-08-09,2018.0,2001.0,17.0,,0,,4,2.0,4,1.0,False,33,8.25,20,deregistered_or_delisted,likely_failure_delisted,,2834.0,Pharmaceutical Preparations
0001819576,Liquidia Technologies Inc,LQDA,2018-07-26,2018.0,2004.0,14.0,,0,,3,3.0,3,1.0,False,17,5.667,9,actively_filing,,,2834.0,Pharmaceutical Preparations
0001737953,Replimune Group Inc,REPL,2018-07-20,2018.0,2015.0,3.0,55.0,2,18.33,1,2.0,4,0.25,False,4,4.0,13,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001658247,Crinetics Pharmaceuticals Inc,CRNX,2018-07-18,2018.0,2008.0,10.0,93.5,2,9.35,1,1.0,1,1.0,False,4,4.0,3,actively_filing,,,2834.0,Pharmaceutical Preparations
0001638097,Entera Bio Ltd,ENTX,2018-06-28,2018.0,2010.0,8.0,,0,,4,2.0,3,1.33,False,4,1.0,0,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001730463,Autolus Therapeutics Ltd,AUTL,2018-06-21,2018.0,2014.0,4.0,,0,,0,,0,,False,0,,6,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001660334,Verrica Pharmaceuticals Inc,VRCA,2018-06-15,2018.0,2013.0,5.0,176.0,3,35.2,4,3.0,13,0.31,False,3,0.75,0,actively_filing,,,2834.0,Pharmaceutical Preparations
