company_name,cik,s1_url,s1_filing_date,summary_snippet,classification,ipo_date,ticker,founding_year,ipo_year,sic,sic_description,ipo_date_source,reason
Verastem Inc,0001526119,,,"EXTRACTION FAILED, open s1_url directly",THERAPEUTICS,2012-01-26,VSTM,2010.0,2012.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Meiragtx Holdings Plc,0001735438,https://www.sec.gov/Archives/edgar/data/1735438/000119312518162609/d544323ds1.htm,5/14/2018,"We are a vertically
integrated, clinical stage gene therapy company with four ongoing clinical programs and a broad pipeline of preclinical and research programs. We have core capabilities in viral vector design and optimization and gene therapy manufacturing, as well
as a potentially transformative gene regulation technology. Led by an experienced management team, we have taken a portfolio approach by licensing, acquiring and developing technologies that give us depth across both product candidates and
indications. Though initially focusing on the eye, salivary gland and central nervous system, we intend to expand our focus in the future to develop additional gene therapy treatments for patients suffering from a range of serious diseases. We operate a flexible and scalable viral vector manufacturing facility that we expect can supply our current clinical and preclinical programs
through regulatory approval and, should they be approved, provide sufficient capacity for commercial production. Completed in early 2018 and designed to meet global regulatory requirements, including the current good manufacturing practices, or
cGMP, required by the U.S. Food and Drug Administration, or FDA, our 29,000 square foot facility has two cell production suites, three independent viral vector production suites providing multi-product and multi-viral vector manufacturing
capabilities and an integrated, flexible fill-and-finish suite.",THERAPEUTICS,2018-06-08,MGTX,2015.0,2018.0,2836.0,"Biological Products, (No Diagnostic Substances)",ritter_verified,
Sutro Biopharma Inc,0001382101,https://www.sec.gov/Archives/edgar/data/1382101/000119312518262012/d553197ds1.htm,8/29/2018,"We are a clinical stage drug discovery, development and manufacturing company focused on leveraging our proprietary integrated cell-free protein
synthesis platform, XpressCF, to create a broad variety of optimally designed, next-generation protein therapeutics for cancer and autoimmune disorders. We aim to design therapeutics using the most potent modalities, including cytokine-based
immuno-oncology, or I/O, therapeutics, antibody-drug conjugates, or ADCs, and bispecific antibodies that are directed primarily against clinically validated targets where the current standard of care is suboptimal. We believe our platform allows us
to accelerate the discovery and development of potential first-in-class and best-in-class molecules by enabling the rapid and systematic evaluation of protein structure-activity relationships to create optimized homogeneous product candidates. Our mission is to transform the lives of patients by using our XpressCF Platform to create
medicines with improved therapeutic profiles for areas of unmet need. Our two most advanced product candidates are wholly owned: STRO-001, an ADC directed against CD74, for patients with multiple myeloma and non-Hodgkin lymphoma, or NHL, and STRO-002, an ADC
directed against folate receptor-alpha, or FolR a , for patients with ovarian and endometrial cancers. STRO-001 is
currently enrolling patients in a Phase 1 trial, with initial safety data expected in mid-2019. We plan to submit an investigational new drug, or IND, application for STRO-002 to the U.S. Food and Drug
Administration, or FDA, in the fourth quarter of 2018.",THERAPEUTICS,2018-09-26,STRO,2003.0,2018.0,2836.0,"Biological Products, (No Diagnostic Substances)",ritter_verified,
Vaccinex Inc,0001205922,https://www.sec.gov/Archives/edgar/data/1205922/000119312518214817/d515130ds1.htm,7/9/2018,"We are a
clinical-stage biotechnology company engaged in the discovery and development of targeted biotherapeutics to treat serious diseases and conditions with unmet medical needs, including cancer, neurodegenerative diseases, and autoimmune disorders. We
believe we are the leader in the field of semaphorin 4D, or SEMA4D, biology, and that we are the only company targeting SEMA4D as a potential treatment for cancer, neurodegenerative diseases, or autoimmune disorders. SEMA4D is an extracellular
signaling molecule that regulates the migration of immune and inflammatory cells to sites of injury, cancer or infection. We are leveraging our SEMA4D antibody platform and our extensive knowledge of SEMA4D biology to develop our lead product
candidate VX15/2503, or VX15, which we believe utilizes novel mechanisms of action. We are focused on the development of VX15 for the treatment of non-small cell lung cancer, or NSCLC, osteosarcoma, melanoma
and Huntington’s disease. We have developed multiple proprietary platform technologies and are developing product candidates to address serious diseases or conditions that have a substantial impact on day-to-day functioning and for which treatment is not addressed adequately by available therapies. We employ our proprietary platform technologies, including through our work with our academic collaborators,
to identify potential product candidates for sustained expansion of our internal product pipeline and to facilitate strategic development and commercial partnerships. In addition, we and our academic collaborators are using our Natural Killer T, or NKT, cell-based vaccine platform, which we refer to as our
NKT vaccine platform, to discover product candidates that target and extend the activity of NKT cells. NKT cells work directly to kill certain types of parasites and cells, including tumor cells and virus-infected cells. We are applying our agonists
to direct NKT cells to the site of tumors, potentially enhancing tumor-specific immunity through recruitment and activation of cytotoxic T cells and antibody-armed natural killer cells that will work to eradicate the tumor.",THERAPEUTICS,2018-08-09,VCNX,2001.0,2018.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Liquidia Technologies Inc,0001819576,,,"EXTRACTION FAILED, open s1_url directly",THERAPEUTICS,2018-07-26,LQDA,2004.0,2018.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Replimune Group Inc,0001737953,https://www.sec.gov/Archives/edgar/data/1737953/000104746918004714/a2236084zs-1.htm,6/22/2018,"We are a clinical-stage biotechnology company committed to applying our leading expertise in the field of oncolytic immunotherapy to transform
the lives of cancer patients. We use our proprietary Immulytic platform to design and develop product candidates that are intended to maximally activate the immune system against solid tumors. The
foundation of our platform consists of a proprietary, engineered strain of herpes simplex virus 1, or HSV-1, that has been ""armed"" with a fusogenic therapeutic protein intended to substantially
increase anti-tumor activity. Our platform enables us to design multiple product candidates that incorporate various further genes whose expression is intended to augment the inherent properties of
HSV-1 to both directly destroy tumor cells and induce an anti-tumor immune response. We
are currently conducting a Phase 1/2 clinical trial with our lead product candidate, RP1, in approximately 150 patients with a range of solid tumors. We have entered into a collaboration
with Bristol-Myers Squibb Company, or BMS, which is providing its anti-PD-1 therapy, nivolumab, for use in combination with RP1 in this clinical trial. The first part of this clinical trial is
underway in the United Kingdom and we intend to conduct the second part of the clinical trial, which will enroll patients with four solid tumor types, in both the United Kingdom and in the United
States pending the opening of an Investigational New Drug Application, or IND. We have also entered into a collaboration agreement with Regeneron Pharmaceuticals, Inc., or Regeneron, under
which we intend to conduct clinical development of our product candidates in combination with cemiplimab, an anti-PD-1 therapy being developed by Regeneron. The first planned clinical trial to be
conducted under that agreement is a randomized, controlled Phase 2 clinical trial of RP1 in combination with cemiplimab, versus cemiplimab alone, in approximately 240 patients with cutaneous
squamous cell carcinoma, or CSCC, which we intend to initiate in the first half of 2019. We are
designing this clinical trial to potentially support product registration. We also intend to initiate a clinical trial with our second product candidate, RP2, in additional tumor types in the first
half of 2019.",THERAPEUTICS,2018-07-20,REPL,2015.0,2018.0,2836.0,"Biological Products, (No Diagnostic Substances)",ritter_verified,
Crinetics Pharmaceuticals Inc,0001658247,https://www.sec.gov/Archives/edgar/data/1658247/000119312518201023/d588296ds1.htm,6/22/2018,"We are a clinical stage pharmaceutical company
focused on the discovery, development and commercialization of novel therapeutics for rare endocrine diseases and endocrine-related tumors. Endocrine pathways function to maintain homeostasis and commonly use peptide hormones acting through G
protein coupled receptors, or GPCRs, to regulate many aspects of physiology including growth, energy, metabolism, gastrointestinal function and stress responses. We have assembled a seasoned team with extensive expertise in drug discovery and
development in endocrine GPCRs and built a highly productive drug discovery organization. We have discovered a pipeline of oral nonpeptide (small molecule) new chemical entities that target peptide GPCRs to treat a variety of rare endocrine diseases
where treatment options have significant efficacy, safety and/or tolerability limitations. Our lead product candidate, CRN00808, is currently in clinical development for the treatment of acromegaly, and we are advancing additional product candidates
through preclinical studies in parallel. Our vision is to build the leading endocrine company which consistently pioneers new therapeutics to help patients better control their disease and improve their daily lives. We focus on the discovery and development of oral nonpeptide therapeutics that target peptide GPCRs with well understood biological functions, validated biomarkers
and the potential to substantially improve the treatment of endocrine diseases and/or endocrine-related tumors. All of our product candidates have been discovered and developed internally and we have retained global rights to commercialize our
product candidates and have no royalty or licensing obligations. The following table summarizes our product candidate pipeline and anticipated milestones.",THERAPEUTICS,2018-07-18,CRNX,2008.0,2018.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Entera Bio Ltd,0001638097,,,"EXTRACTION FAILED, open s1_url directly",THERAPEUTICS,2018-06-28,ENTX,2010.0,2018.0,2836.0,"Biological Products, (No Diagnostic Substances)",ritter_verified,
Autolus Therapeutics Ltd,0001730463,https://www.sec.gov/Archives/edgar/data/1730463/000119312525116059/d938913ds1.htm,5/8/2025,"We have an FDA-approved commercial product, AUCATZYL/obe-cel (obecabtagene autoleucel) for the treatment of adult patients with r/r B-ALL. On November 8, 2024, the U.S. FDA granted marketing approval for AUCATZYL and we reported its commercial launch in January
2025. The U.K. Medicines and Healthcare products Regulatory Agency, or MHRA, granted AUCATZYL conditional marketing authorization in April 2025, and Autolus anticipates commercial launch in the United Kingdom in the second half of 2025. Obe-cel is under regulatory review in the European Union, or EU, for the treatment of r/r B-ALL, with marketing authorization submissions accepted by the European Medicines
Agency, orEMA, in April 2024, and the Company expects to receive notification of approval status from the EMA in the second half of 2025. Using our broad
suite of proprietary and modular T cell programming technologies, we are also developing five programs in seven hematological and solid tumor indications and one autoimmune indication. We are engineering precisely targeted, controlled and highly
active T cell therapies that are designed to better recognize target cells, break down their defense mechanisms and attack and eliminate these cells. We believe our programmed T cell therapies have the potential to be best-in-class and offer patients substantial benefits over the existing standard of care, including the potential for cure in some patients.",THERAPEUTICS,2018-06-21,AUTL,2014.0,2018.0,2836.0,"Biological Products, (No Diagnostic Substances)",ritter_verified,
Verrica Pharmaceuticals Inc,0001660334,https://www.sec.gov/Archives/edgar/data/1660334/000119312518170726/d361077ds1.htm,5/22/2018,"We are a clinical-stage
medical dermatology company focused on identifying, developing and commercializing innovative pharmaceutical products for the treatment of skin diseases with significant unmet needs. Our lead product candidate, VP-102, is a proprietary drug-device combination of our novel topical solution of cantharidin, a widely recognized, naturally sourced agent to treat topical dermatological conditions, administered through our single-use precision applicator. We are initially developing VP-102 for the treatment of molluscum contagiosum, or molluscum, a highly contagious and primarily pediatric viral
skin disease, and common warts. There are currently no products approved by the U.S. Food and Drug Administration, or FDA, nor is there an established standard of care for either of these diseases, resulting in significant undertreated populations
in two of the largest unmet needs in dermatology. In addition to patent protection we are seeking, VP-102 has the potential to be the first FDA-approved product for molluscum and for its active pharmaceutical
ingredient, or API, to be characterized as a new chemical entity, or NCE, with the five years of non-patent regulatory exclusivity associated with that designation. We also believe VP-102 has the potential to qualify for pediatric exclusivity, which
would provide for an additional six months of non-patent exclusivity. We have recently initiated two randomized, double-blind,
multicenter, placebo-controlled Phase 3 clinical trials of VP-102 for the treatment of molluscum, CAMP-1 and CAMP-2, and expect
to report top-line results from these trials in the first half of 2019. If the results from these trials are favorable, we plan to submit a new drug application, or NDA, to the FDA for VP-102 for the treatment of molluscum in 2019. CAMP-1 is being conducted under a special protocol assessment, or SPA, with the FDA. We are also enrolling patients in a
Phase 2 clinical trial of VP-102 for the treatment of common warts. We expect to report top-line results from this trial in the first half of 2019. We retain exclusive, royalty-free rights to our product
candidates across all indications.",THERAPEUTICS,2018-06-15,VRCA,2013.0,2018.0,2834.0,Pharmaceutical Preparations,ritter_verified,
Scholar Rock Holding Corp,0001727196,https://www.sec.gov/Archives/edgar/data/1727196/000104746918003300/a2235501zs-1.htm,4/27/2018,"We are a biopharmaceutical company focused on the discovery and development of innovative medicines for the treatment of serious diseases in which signaling by
protein growth factors plays a fundamental role. Our newly elucidated understanding of the molecular mechanisms of growth factor activation enabled us to develop a proprietary platform for the
discovery and development of monoclonal antibodies that locally and selectively target these signaling proteins at the cellular level. We believe this approach, acting in the disease microenvironment,
avoids the historical challenges associated with inhibiting growth factors for therapeutic effect. We believe our focus on biologically validated growth factors may facilitate a more efficient
development path. We are advancing our lead product candidate, SRK-015, a selective first-in-class inhibitor of the activation of the growth factor myostatin in skeletal muscle, into clinical
development for the treatment of spinal muscular atrophy, or SMA. We expect to initiate a Phase 1 clinical trial in the second quarter of 2018. Utilizing our proprietary platform, we are also
creating a pipeline of novel product candidates with the potential to transform the lives of patients suffering from a wide range of serious diseases, including other neuromuscular disorders, cancer,
fibrosis and anemia. Our proprietary platform is designed to discover and develop monoclonal antibodies that have a high degree of specificity to achieve selective modulation of
growth factor signaling. Growth factors are naturally occurring proteins that typically act as signaling molecules between cells and play a fundamental role in regulating a variety of normal cellular
processes, including cell growth and differentiation. Current therapeutic approaches to treating diseases in which growth factors play a fundamental role involve directly targeting an active growth
factor or its receptor systemically throughout the body and have suffered from a variety of shortcomings:",THERAPEUTICS,2018-05-24,SRRK,2012.0,2018.0,2836.0,"Biological Products, (No Diagnostic Substances)",ritter_verified,
Kodiak Sciences Inc,0001468748,https://www.sec.gov/Archives/edgar/data/1468748/000119312518269221/d516071ds1.htm,9/7/2018,"We are a clinical stage biopharmaceutical company specializing in novel therapeutics to treat chronic, high-prevalence retinal diseases. Our
most advanced product candidate is KSI-301, a biologic therapy built with our antibody biopolymer conjugate, or ABC, platform, which is designed to maintain potent and effective drug levels in ocular tissues.
We believe that KSI-301, if approved, has the potential to become an important anti-VEGF therapy in wet age-related macular degeneration, or wet AMD, and diabetic
retinopathy, or DR. KSI-301 and our ABC Platform were developed at Kodiak, and we own worldwide rights to those assets, including composition of matter patent protection for KSI-301. We have applied our ABC Platform to develop additional product candidates beyond KSI-301, including KSI-501, our bispecific anti-IL-6/VEGF bioconjugate. We intend to progress these and other product
candidates to address high-prevalence ophthalmic diseases. We initiated our first-in-human, Phase 1 clinical study of KSI-301 in the
United States in nine patients in July 2018. We have successfully dosed all patients at the pre-planned dose levels and reached the primary safety and tolerability endpoint of the study. No patients in the Phase 1 study have experienced any serious
adverse events. There have been no drug-related adverse events, no dose limiting toxicities and, notably, no intraocular inflammation observed at any dose. Improvements in best corrected visual acuity, or BCVA, and reductions in macular thickness on
optical coherence tomography imaging, or OCT, have been observed at all dose levels. This suggests that KSI-301, a large antibody biopolymer conjugate, is biologically active at all dose levels tested. Having successfully met the primary endpoint of
safety and tolerability in the Phase 1 study, with the additional observations around bioactivity, we plan to further evaluate the highest dose tested of KSI-301, 5 mg, in a series of global studies in wet AMD and DR, including diabetic macular
edema, or DME.",THERAPEUTICS,2018-10-04,KOD,2009.0,2018.0,2836.0,"Biological Products, (No Diagnostic Substances)",ritter_verified,
