company_name,cik,bucket,latest_periodic_filing,deregistration_date,form25_date
Verastem Inc,1526119,actively_filing,2026-05-07,,
Meiragtx Holdings Plc,1735438,actively_filing,2026-05-14,,
Sutro Biopharma Inc,1382101,actively_filing,2026-05-14,,
Vaccinex Inc,1205922,deregistered_or_delisted,2025-04-15,2025-03-27,2025-03-17
Liquidia Technologies Inc,1819576,actively_filing,2026-05-11,,
Replimune Group Inc,1737953,actively_filing,2026-06-29,,
Crinetics Pharmaceuticals Inc,1658247,actively_filing,2026-05-07,,
Entera Bio Ltd,1638097,actively_filing,2026-05-08,,
Autolus Therapeutics Ltd,1730463,actively_filing,2026-05-14,,
Verrica Pharmaceuticals Inc,1660334,actively_filing,2026-05-12,,
Scholar Rock Holding Corp,1727196,actively_filing,2026-05-07,,
Kodiak Sciences Inc,1468748,actively_filing,2026-05-07,,
Kiniksa Pharmaceuticals LTD,1730430,actively_filing,2026-04-28,,
Genprex,1595248,actively_filing,2026-05-13,,
Arcus Biosciences Inc,1724521,actively_filing,2026-05-05,,
Bioxcel Therapeutics Inc,1720893,actively_filing,2026-05-15,,
Evolus Inc,1570562,actively_filing,2026-05-04,,
Sol-Gel Technologies Ltd,1684693,stalled_filing,,,
Solid Biosciences LLC,1707502,actively_filing,2026-05-12,,
Cue Biopharma Inc,1645460,actively_filing,2026-05-14,,
Denali Therapeutics Inc,1714899,actively_filing,2026-05-07,,
InflaRx NV (Fireman BV?),1708688,stalled_filing,,,
Spero Therapeutics Inc,1701108,actively_filing,2026-05-13,,
Rhythm Pharmaceuticals Inc,1649904,actively_filing,2026-05-05,,
Arvinas Holding Co LLC,1655759,actively_filing,2026-05-11,,
Equillium,1746466,actively_filing,2026-05-13,,
Krystal Biotech Inc,1711279,actively_filing,2026-05-04,,
CNS Pharmaceuticals Inc,1729427,actively_filing,2026-05-14,,
Galera Therapeutics Inc,1563577,actively_filing,2026-05-14,,2024-09-06
Cabaletta Bio Inc,1759138,actively_filing,2026-05-14,,
Phathom Pharmaceuticals Inc,1783183,actively_filing,2026-04-30,,
Vir Biotechnology Inc,1706431,actively_filing,2026-05-07,,
BioNTech SE,1776985,stalled_filing,,,
Aprea Therapeutics Inc,1781983,actively_filing,2026-05-13,,
Mirum Pharmaceuticals Inc,1759425,actively_filing,2026-05-06,,
Fulcrum Therapeutics Inc,1680581,actively_filing,2026-04-27,,
BridgeBio Pharma Inc,1743881,actively_filing,2026-05-07,,
Stoke Therapeutics Inc,1623526,actively_filing,2026-05-07,,
Twist Bioscience Corp,1581280,actively_filing,2026-05-04,,
Bicycle Therapeutics Ltd,1761612,actively_filing,2026-04-30,,
Ideaya Biosciences Inc,1676725,actively_filing,2026-05-05,,
NextCure Inc,1661059,actively_filing,2026-05-07,,
Milestone Pharmaceuticals Inc,1408443,actively_filing,2026-05-13,,
Trevi Therapeutics Inc,1563880,actively_filing,2026-05-05,,
Precision Biosciences Inc,1357874,actively_filing,2026-05-05,,
Gossamer Bio Inc,1728117,actively_filing,2026-05-15,,
Alector Inc,1653087,actively_filing,2026-05-07,,
Inmune Bio Inc,1711754,actively_filing,2026-05-07,,
China Sxt Pharms Inc,1723980,stalled_filing,,,
Moderna Inc,1682852,actively_filing,2026-05-01,,
NuCana plc,1709626,stalled_filing,,,
Allogene Therapeutics Inc.,1737287,actively_filing,2026-05-13,,
Zai Lab Ltd,1704292,actively_filing,2026-05-07,,
uniQure BV,1590560,actively_filing,2026-05-05,,
Coherus Biosciences Inc,1512762,actively_filing,2026-05-11,,
Xenon Pharmaceuticals Inc,1582313,actively_filing,2026-05-07,,
ProQR Therapeutics BV,1612940,stalled_filing,,,
Ocular Therapeutix Inc,1393434,actively_filing,2026-05-05,,
Minerva Neurosciences Inc,1598646,actively_filing,2026-05-05,,
Ardelyx Inc,1437402,actively_filing,2026-04-30,,
Aldeyra Therapeutics Inc,1341235,actively_filing,2026-05-07,,
SCYNEXIS Inc,1178253,actively_filing,2026-05-11,,
Ultragenyx Pharmaceutical,1515673,actively_filing,2026-05-06,,
XBiotech Inc,1626878,actively_filing,2026-05-14,,
Xencor Inc,1326732,actively_filing,2026-05-06,,
Karyopharm Therapeutics,1503802,actively_filing,2026-05-14,,
MacroGenics,1125345,actively_filing,2026-05-13,,
Fate Therapeutics,1434316,actively_filing,2026-05-13,,
Esperion Therapeutics Inc,1434868,deregistered_or_delisted,2026-05-08,,2026-07-13
Enanta Pharmaceuticals Inc,1177648,actively_filing,2026-05-13,,
Zoetis Inc,1555280,actively_filing,2026-05-07,,
Kala Pharmaceuticals Inc,1479419,actively_filing,2026-05-15,,
Ascendis Pharma A/S,1612042,stalled_filing,,,
Akebia Therapeutics Inc,1517022,actively_filing,2026-05-07,,
CRISPR Therapeutics AG,1674416,actively_filing,2026-05-04,,
Syndax Pharmaceuticals Inc,1395937,actively_filing,2026-04-30,,
Ovid Therapeutics Inc,1636651,actively_filing,2026-05-12,,
