company_name,cik,pre_ipo_patent_count
Verastem Inc,0001526119,3
Meiragtx Holdings Plc,0001735438,0
Sutro Biopharma Inc,0001382101,30
Vaccinex Inc,0001205922,33
Liquidia Technologies Inc,0001819576,17
Aquestive Therapeutics Inc,0001398733,6
Replimune Group Inc,0001737953,4
Crinetics Pharmaceuticals Inc,0001658247,4
Entera Bio Ltd,0001638097,4
Autolus Therapeutics Ltd,0001730463,0
Verrica Pharmaceuticals Inc,0001660334,3
Scholar Rock Holding Corp,0001727196,10
Kodiak Sciences Inc,0001468748,4
Kiniksa Pharmaceuticals LTD,0001730430,5
Genprex,0001595248,0
Arcus Biosciences Inc,0001724521,3
Bioxcel Therapeutics Inc,0001720893,0
Evolus Inc,0001570562,0
Sol-Gel Technologies Ltd,0001684693,17
Solid Biosciences LLC,0001707502,0
Cue Biopharma Inc,0001645460,0
Denali Therapeutics Inc,0001714899,8
InflaRx NV (Fireman BV?),0001708688,0
Spero Therapeutics Inc,0001701108,0
Rhythm Pharmaceuticals Inc,0001649904,16
Arvinas Holding Co LLC,0001655759,9
Equillium,0001746466,0
Krystal Biotech Inc,0001711279,1
CNS Pharmaceuticals Inc,0001729427,0
Galera Therapeutics Inc,0001563577,5
Cabaletta Bio Inc,0001759138,0
Phathom Pharmaceuticals Inc,0001783183,0
Vir Biotechnology Inc,0001706431,1
BioNTech SE,0001776985,44
Aprea Therapeutics Inc,0001781983,0
Mirum Pharmaceuticals Inc,0001759425,0
Fulcrum Therapeutics Inc,0001680581,2
BridgeBio Pharma Inc,0001743881,0
Stoke Therapeutics Inc,0001623526,2
Twist Bioscience Corp,0001581280,25
Bicycle Therapeutics Ltd,0001761612,8
Ideaya Biosciences Inc,0001676725,0
NextCure Inc,0001661059,0
Milestone Pharmaceuticals Inc,0001408443,0
Trevi Therapeutics Inc,0001563880,5
Precision Biosciences Inc,0001357874,23
Gossamer Bio Inc,0001728117,0
Alector Inc,0001653087,9
Inmune Bio Inc,0001711754,0
China Sxt Pharms Inc,0001723980,0
Moderna Inc,0001682852,49
NuCana plc,0001709626,13
Allogene Therapeutics Inc.,0001737287,1
Zai Lab Ltd,0001704292,0
uniQure BV,0001590560,7
Coherus Biosciences Inc,0001512762,7
Xenon Pharmaceuticals Inc,0001582313,85
ProQR Therapeutics BV,0001612940,1
Ocular Therapeutix Inc,0001393434,0
Minerva Neurosciences Inc,0001598646,1
Amphastar Pharmaceuticals Inc,0001297184,0
Ardelyx Inc,0001437402,8
Aldeyra Therapeutics Inc,0001341235,4
SCYNEXIS Inc,0001178253,13
Ultragenyx Pharmaceutical,0001515673,4
XBiotech Inc,0001626878,17
Xencor Inc,0001326732,93
Karyopharm Therapeutics,0001503802,7
MacroGenics,0001125345,61
Fate Therapeutics,0001434316,7
Esperion Therapeutics Inc,0001434868,41
PTC Therapeutics Inc,0001070081,86
Enanta Pharmaceuticals Inc,0001177648,146
Zoetis Inc,0001555280,52
Kala Pharmaceuticals Inc,0001479419,24
Atossa Genetics Inc,0001488039,2
Ascendis Pharma A/S,0001612042,21
Akebia Therapeutics Inc,0001517022,9
CRISPR Therapeutics AG,0001674416,0
