company_name,cik,pre_ipo_trial_count,pre_ipo_max_phase_rank,pre_ipo_conditions_targeted,pre_ipo_had_terminated_or_withdrawn
Verastem Inc,0001526119,2,1.0,4,False
Meiragtx Holdings Plc,0001735438,1,1.0,3,False
Sutro Biopharma Inc,0001382101,1,1.0,8,False
Vaccinex Inc,0001205922,4,2.0,4,False
Liquidia Technologies Inc,0001819576,3,3.0,3,False
Aquestive Therapeutics Inc,0001398733,6,3.0,4,True
Replimune Group Inc,0001737953,1,2.0,4,False
Crinetics Pharmaceuticals Inc,0001658247,1,1.0,1,False
Entera Bio Ltd,0001638097,4,2.0,3,False
Autolus Therapeutics Ltd,0001730463,0,,0,False
Verrica Pharmaceuticals Inc,0001660334,4,3.0,13,False
Scholar Rock Holding Corp,0001727196,0,,0,False
Kodiak Sciences Inc,0001468748,0,,0,False
Kiniksa Pharmaceuticals LTD,0001730430,1,2.0,1,False
Genprex,0001595248,1,2.0,1,True
Arcus Biosciences Inc,0001724521,0,,0,False
Bioxcel Therapeutics Inc,0001720893,0,,0,False
Evolus Inc,0001570562,4,3.0,1,False
Sol-Gel Technologies Ltd,0001684693,3,2.0,3,True
Solid Biosciences LLC,0001707502,1,2.0,1,False
Cue Biopharma Inc,0001645460,0,,0,False
Denali Therapeutics Inc,0001714899,2,1.0,1,False
InflaRx NV (Fireman BV?),0001708688,0,,0,False
Spero Therapeutics Inc,0001701108,2,1.0,1,False
Rhythm Pharmaceuticals Inc,0001649904,9,3.0,11,False
Arvinas Holding Co LLC,0001655759,0,,0,False
Equillium,0001746466,0,,0,False
Krystal Biotech Inc,0001711279,0,,0,False
CNS Pharmaceuticals Inc,0001729427,0,,0,False
Galera Therapeutics Inc,0001563577,12,3.0,10,False
Cabaletta Bio Inc,0001759138,0,,0,False
Phathom Pharmaceuticals Inc,0001783183,0,,0,False
Vir Biotechnology Inc,0001706431,2,2.0,2,False
BioNTech SE,0001776985,3,1.0,9,False
Aprea Therapeutics Inc,0001781983,6,3.0,7,True
Mirum Pharmaceuticals Inc,0001759425,20,3.0,16,True
Fulcrum Therapeutics Inc,0001680581,0,,0,False
BridgeBio Pharma Inc,0001743881,0,,0,False
Stoke Therapeutics Inc,0001623526,0,,0,False
Twist Bioscience Corp,0001581280,0,,0,False
Bicycle Therapeutics Ltd,0001761612,0,,0,False
Ideaya Biosciences Inc,0001676725,0,,0,False
NextCure Inc,0001661059,1,2.0,9,False
Milestone Pharmaceuticals Inc,0001408443,4,3.0,2,True
Trevi Therapeutics Inc,0001563880,7,3.0,7,False
Precision Biosciences Inc,0001357874,0,,0,False
Gossamer Bio Inc,0001728117,0,,0,False
Alector Inc,0001653087,2,1.0,3,False
Inmune Bio Inc,0001711754,0,,0,False
China Sxt Pharms Inc,0001723980,0,,0,False
Moderna Inc,0001682852,0,,0,False
NuCana plc,0001709626,0,,0,False
Allogene Therapeutics Inc.,0001737287,0,,0,False
Zai Lab Ltd,0001704292,4,3.0,6,False
uniQure BV,0001590560,1,2.0,1,False
Coherus Biosciences Inc,0001512762,0,,0,False
Xenon Pharmaceuticals Inc,0001582313,5,2.0,5,False
ProQR Therapeutics BV,0001612940,0,,0,False
Ocular Therapeutix Inc,0001393434,8,3.0,9,False
Minerva Neurosciences Inc,0001598646,0,,0,False
Amphastar Pharmaceuticals Inc,0001297184,16,3.0,6,True
Ardelyx Inc,0001437402,14,3.0,11,False
Aldeyra Therapeutics Inc,0001341235,0,,0,False
SCYNEXIS Inc,0001178253,2,2.0,2,False
Ultragenyx Pharmaceutical,0001515673,9,2.0,12,True
XBiotech Inc,0001626878,0,,0,False
Xencor Inc,0001326732,2,1.0,4,False
Karyopharm Therapeutics,0001503802,3,1.0,3,False
MacroGenics,0001125345,13,3.0,20,True
Fate Therapeutics,0001434316,3,2.0,7,True
Esperion Therapeutics Inc,0001434868,6,2.0,6,False
