cik,company_name,pubmed_pre_ipo_count,pubmed_query_method,pubmed_authors_queried
0001526119,Verastem Inc,0,affiliation,0
0001735438,Meiragtx Holdings Plc,2,affiliation,0
0001382101,Sutro Biopharma Inc,0,affiliation,0
0001205922,Vaccinex Inc,20,affiliation,0
0001819576,Liquidia Technologies Inc,9,affiliation,0
0001737953,Replimune Group Inc,13,affiliation,0
0001658247,Crinetics Pharmaceuticals Inc,3,affiliation,0
0001638097,Entera Bio Ltd,0,affiliation,0
0001730463,Autolus Therapeutics Ltd,6,affiliation,0
0001660334,Verrica Pharmaceuticals Inc,0,affiliation,0
0001727196,Scholar Rock Holding Corp,0,affiliation,0
0001468748,Kodiak Sciences Inc,0,affiliation,0
0001730430,Kiniksa Pharmaceuticals LTD,3,affiliation,0
0001595248,Genprex,0,affiliation,0
0001724521,Arcus Biosciences Inc,236,affiliation,0
0001720893,Bioxcel Therapeutics Inc,0,affiliation,0
0001570562,Evolus Inc,0,affiliation,0
0001684693,Sol-Gel Technologies Ltd,47,affiliation,0
0001707502,Solid Biosciences LLC,0,author_disambiguated,5
0001645460,Cue Biopharma Inc,0,affiliation,0
0001714899,Denali Therapeutics Inc,52,affiliation,0
0001708688,InflaRx NV (Fireman BV?),0,affiliation,0
0001701108,Spero Therapeutics Inc,40,affiliation,0
0001649904,Rhythm Pharmaceuticals Inc,1363,affiliation,0
0001655759,Arvinas Holding Co LLC,0,affiliation,0
0001746466,Equillium,0,affiliation,0
0001711279,Krystal Biotech Inc,0,affiliation,0
0001729427,CNS Pharmaceuticals Inc,0,author_disambiguated,5
0001563577,Galera Therapeutics Inc,75,affiliation,0
0001759138,Cabaletta Bio Inc,0,affiliation,0
0001783183,Phathom Pharmaceuticals Inc,7,affiliation,0
0001706431,Vir Biotechnology Inc,0,affiliation,0
0001776985,BioNTech SE,0,affiliation,0
0001781983,Aprea Therapeutics Inc,39,affiliation,0
0001759425,Mirum Pharmaceuticals Inc,1,affiliation,0
0001680581,Fulcrum Therapeutics Inc,35,affiliation,0
0001743881,BridgeBio Pharma Inc,2,affiliation,0
0001623526,Stoke Therapeutics Inc,0,author_disambiguated,5
0001581280,Twist Bioscience Corp,25,affiliation,0
0001761612,Bicycle Therapeutics Ltd,15,affiliation,0
0001676725,Ideaya Biosciences Inc,8,affiliation,0
0001661059,NextCure Inc,3,affiliation,0
0001408443,Milestone Pharmaceuticals Inc,194,affiliation,0
0001563880,Trevi Therapeutics Inc,15,affiliation,0
0001357874,Precision Biosciences Inc,0,author_disambiguated,5
0001728117,Gossamer Bio Inc,0,affiliation,0
0001653087,Alector Inc,10,affiliation,0
0001711754,Inmune Bio Inc,0,affiliation,0
0001723980,China Sxt Pharms Inc,0,affiliation,0
0001682852,Moderna Inc,107,affiliation,0
0001709626,NuCana plc,0,affiliation,0
0001737287,Allogene Therapeutics Inc.,4,affiliation,0
0001704292,Zai Lab Ltd,0,affiliation,0
0001590560,uniQure BV,0,affiliation,0
0001512762,Coherus Biosciences Inc,0,affiliation,0
0001582313,Xenon Pharmaceuticals Inc,42,affiliation,0
0001612940,ProQR Therapeutics BV,0,affiliation,0
0001393434,Ocular Therapeutix Inc,0,affiliation,0
0001598646,Minerva Neurosciences Inc,0,affiliation,0
0001437402,Ardelyx Inc,5,affiliation,0
0001341235,Aldeyra Therapeutics Inc,0,affiliation,0
0001178253,SCYNEXIS Inc,35,affiliation,0
0001515673,Ultragenyx Pharmaceutical,3,affiliation,0
0001626878,XBiotech Inc,5,affiliation,0
0001326732,Xencor Inc,44,affiliation,0
0001503802,Karyopharm Therapeutics,3,affiliation,0
0001125345,MacroGenics,16,affiliation,0
0001434316,Fate Therapeutics,217,affiliation,0
0001434868,Esperion Therapeutics Inc,19,affiliation,0
0001177648,Enanta Pharmaceuticals Inc,16,affiliation,0
0001555280,Zoetis Inc,27,affiliation,0
0001479419,Kala Pharmaceuticals Inc,221,affiliation,0
0001612042,Ascendis Pharma A/S,0,affiliation,0
